List the Tasks,Date,At what time,Until,Put Alarm,Status
padai karni hai,"December 14, 2023",1 pm,,Haven't done,Done
"khana 1st meal ",,2:00 pm,,Haven't done,Done
kapde dhone hain,"December 14, 2023",4 pm,4:20,Haven't done,Done
"khana 2nd meal ",,4:20,,Haven't done,In progress
"pay internet ",,,,Haven't done,Done
"milne jana hai ","December 14, 2023",5 pm,,Haven't done,Unfinished/not done
"gym jana hai ","December 14, 2023","7:00 pm ",,Haven't done,Not started
,,,,Haven't done,Not started
,,,,Haven't done,Not started
,,,,Haven't done,Not started
,,,,Haven't done,Not started